# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
        0.899489     1.97798e-06     5.63931e-09     1.69188e-14     9.15836e-16     1.36977e-13     3.99969e-09
        0.948962     1.71675e-06     4.71393e-09     9.68589e-15     2.99396e-13     7.71368e-13     3.33375e-09
         1.00116     1.48953e-06     3.95168e-09      2.6501e-13     8.05626e-13      7.8728e-13     2.78787e-09
         1.05622     1.29243e-06     3.33959e-09     4.38581e-13     8.68903e-13     8.38592e-13     2.35448e-09
         1.11432     1.12132e-06     2.81224e-09     4.76912e-13     1.05761e-12      9.1869e-13     1.98019e-09
         1.17561     9.72945e-07      2.3906e-09     4.23447e-13     8.30301e-13     7.58949e-13     1.68383e-09
         1.24027     8.44206e-07     2.00976e-09     3.89889e-13     1.17214e-12     1.42505e-12     1.41265e-09
         1.30848     7.32489e-07     1.71475e-09     3.01601e-13     8.17166e-13     6.27312e-13      1.2063e-09
         1.38045     6.35551e-07     1.45914e-09     1.76125e-13     6.63162e-13     9.63679e-13     1.02672e-09
         1.45638      5.5139e-07     1.25065e-09     6.04452e-14     3.39517e-13     5.58152e-13     8.81606e-10
         1.53649       4.783e-07     1.07258e-09     1.05577e-14     1.41687e-13     2.96402e-13     7.57497e-10
           1.621     4.14792e-07     9.21175e-10     1.06539e-15      3.3603e-14     1.38741e-13     6.51899e-10
         1.71015     3.59652e-07     7.90364e-10     9.19361e-16     1.90409e-15     5.83152e-14     5.60366e-10
         1.80422     3.11738e-07     6.76486e-10     1.05006e-15     3.14909e-15     5.69921e-14     4.80265e-10
         1.90345     2.70161e-07     5.73301e-10      3.8713e-16     7.32299e-16     4.61171e-14     4.06796e-10
         2.00814     2.34071e-07     4.88548e-10      7.4263e-17     3.04402e-15     7.36464e-14     3.46842e-10
          2.1186     2.02807e-07     4.13802e-10     2.34753e-16     2.80346e-16     2.37341e-14     2.93597e-10
         2.23512     1.75651e-07     3.50726e-10     6.17962e-16     7.78309e-16     8.25613e-15     2.48715e-10
         2.35806     1.52153e-07      2.9827e-10       4.384e-16     3.23294e-15     7.74253e-17     2.11547e-10
         2.48776      1.3174e-07     2.52718e-10     6.39697e-17     2.36452e-15     5.15381e-15      1.7913e-10
         2.62459     1.14091e-07     2.16377e-10     3.44575e-16     1.13257e-16     2.48581e-16     1.53593e-10
         2.76895     9.87365e-08     1.82055e-10     1.07265e-15     1.74606e-15     4.24531e-16     1.28978e-10
         2.92124     8.54922e-08     1.56154e-10     3.63222e-16      1.6287e-16     5.34139e-16     1.10824e-10
         3.08192     7.39743e-08     1.32177e-10     1.24234e-18     6.46709e-18     3.67117e-16     9.37304e-11
         3.25143     6.40159e-08      1.1243e-10      9.1023e-17     1.93105e-17     7.16859e-17     7.97387e-11
         3.43026     5.53866e-08     9.56843e-11      6.0207e-18     4.98976e-18     1.83479e-17     6.78784e-11
         3.61894      4.7914e-08     8.12138e-11     1.82129e-18     1.15557e-17     7.38763e-17     5.75973e-11
         3.81798     4.14418e-08     6.90776e-11     6.57844e-18     1.36653e-20     1.10598e-16     4.89961e-11
         4.02798     3.58434e-08     5.87511e-11     8.89641e-18     3.25382e-18     1.60508e-18     4.16755e-11
         4.24953     3.09891e-08     4.98359e-11     1.03888e-17     1.18358e-17     2.38636e-18     3.53403e-11
         4.48326     2.68128e-08     4.28684e-11     8.54593e-16     6.82194e-16     4.60087e-18     3.04528e-11
         4.72985     2.31858e-08     3.62546e-11     1.25699e-15     3.17135e-17     3.38538e-16     2.57236e-11
            4.99     2.00405e-08     3.10649e-11     7.23673e-16     6.87346e-16     7.07508e-15     2.20732e-11
         5.26446     1.73204e-08     2.61078e-11     3.64554e-16     6.15121e-19     2.27483e-16     1.85089e-11
         5.55402     1.49662e-08     2.22279e-11     1.04177e-16     1.27672e-16     1.80915e-16     1.57626e-11
          5.8595     1.29325e-08     1.88185e-11     8.12697e-17     2.81455e-16     5.84475e-15     1.33333e-11
         6.18178     1.11706e-08     1.59777e-11     1.84484e-17     1.78436e-16     4.91618e-15     1.13184e-11
         6.52179     9.64993e-09     1.35882e-11     1.16225e-17     1.52893e-16     4.76636e-16      9.6259e-12
          6.8805      8.3352e-09     1.15097e-11     5.15869e-18     2.46594e-16     2.11328e-15     8.14946e-12
